station,date,type,precipitation_vol,max_temp,min_temp,humidity,wind_speed
83377,20/06/2016,start,,27.4,,50.5,2.009627
83377,20/06/2016,end,0,,14.6,,
83377,21/06/2016,start,,28.2,,53.25,3.666667
83377,21/06/2016,end,0,,14.7,,
83377,22/06/2016,start,,26.5,,53,1.666667
83377,22/06/2016,end,0,,15.6,,
83377,23/06/2016,start,,28,,41.25,1
83377,23/06/2016,end,0,,16.3,,
83377,24/06/2016,start,,28.1,,43,3.666667
83377,24/06/2016,end,0,,12.8,,
83377,25/06/2016,start,,25.8,,45.5,5
83377,25/06/2016,end,0,,16,,
83377,26/06/2016,start,,25.5,,61,3.666667
83377,26/06/2016,end,0,,13.7,,
83377,27/06/2016,start,,24.2,,52.75,1.666667
83377,27/06/2016,end,0,,13.2,,
83377,28/06/2016,start,,25.7,,53,4.666667
83377,28/06/2016,end,0,,12.4,,
83377,29/06/2016,start,,25.5,,55,4.333333
83377,29/06/2016,end,0,,14.2,,
83377,30/06/2016,start,,25.3,,61.5,4.666667
83377,30/06/2016,end,0,,14,,
83377,01/07/2016,start,,25.7,,50.25,3
83377,01/07/2016,end,0,,14.4,,
83377,02/07/2016,start,,26.2,,50.5,3
83377,02/07/2016,end,0,,13.9,,
83377,03/07/2016,start,,26.4,,52.75,4
83377,03/07/2016,end,0,,15.1,,
83377,04/07/2016,start,,26.8,,55.5,4.333333
83377,04/07/2016,end,0,,14.1,,
83377,05/07/2016,start,,26.6,,58.75,2
83377,05/07/2016,end,0,,14.8,,
83377,06/07/2016,start,,27.6,,55.25,0.666667
83377,06/07/2016,end,0,,15.1,,
83377,07/07/2016,start,,29.1,,48.5,0
83377,07/07/2016,end,0,,14,,
83377,08/07/2016,start,,29,,43.5,1.34296
83377,08/07/2016,end,0,,18.3,,
83377,09/07/2016,start,,29.6,,42.75,0.34296
83377,09/07/2016,end,0,,18.7,,
83377,10/07/2016,start,,30,,50,1
83377,10/07/2016,end,0,,14.8,,
83377,11/07/2016,start,,29.4,,39.25,0
83377,11/07/2016,end,0,,13.5,,
83377,12/07/2016,start,,29.5,,36,0.666667
83377,12/07/2016,end,0,,13,,
83377,13/07/2016,start,,29.3,,33.25,0.68592
83377,13/07/2016,end,0,,13,,
83377,14/07/2016,start,,30.8,,39.25,1.34296
83377,14/07/2016,end,0,,12.8,,
83377,15/07/2016,start,,30.6,,39.75,0
83377,15/07/2016,end,0,,13.9,,
83377,16/07/2016,start,,30.6,,37.5,0
83377,16/07/2016,end,0,,14,,
83377,17/07/2016,start,,29.8,,52.5,0
83377,17/07/2016,end,0,,15.4,,
83377,18/07/2016,start,,30,,39,1.666667
83377,18/07/2016,end,0,,12.5,,
