,date,year_month,year,month,inflation,inf_accum,quarter,gdp,precipitation_vol,max_temp,min_temp,humidity,wind_speed,min_sale,max_sale,total_sales,total_invoices,total_cpfs,avg_tickect,week_day,holiday,day,week_day_str,after_holiday,before_holiday
0,2018-11-29,201811,2018,11,-0.21,4.05,4,172.4,0.0,28.6,17.4,60.25,1.7148,4.375,57.4,1432.3925,61.0,12.0,23.48184426229508,3,0,29,Thursday,0,0
1,2018-11-28,201811,2018,11,-0.21,4.05,4,172.4,0.0,26.6,17.4,69.0,6.68772,3.5,146.615,2783.585,124.0,18.0,22.448266129032255,2,0,28,Wednesday,0,0
2,2018-11-27,201811,2018,11,-0.21,4.05,4,172.4,0.1,25.8,17.6,74.0,3.4296,3.5,68.6,2622.235,115.0,40.0,22.802043478260867,1,0,27,Tuesday,0,0
3,2018-11-26,201811,2018,11,-0.21,4.05,4,172.4,28.8,25.1,17.7,81.5,3.4296,3.5,119.4025,4110.61,165.0,47.0,24.91278787878788,0,0,26,Monday,0,0
4,2018-11-25,201811,2018,11,-0.21,4.05,4,172.4,5.9,20.0,18.2,94.75,0.68592,,,,,,,6,0,25,Sunday,0,0
5,2018-11-24,201811,2018,11,-0.21,4.05,4,172.4,20.7,21.6,17.8,91.75,2.74368,,,,,,,5,0,24,Saturday,0,0
6,2018-11-23,201811,2018,11,-0.21,4.05,4,172.4,0.0,27.4,18.3,75.25,1.37184,3.5,85.82,3584.3675,138.0,34.0,25.973677536231882,4,0,23,Friday,0,0
7,2018-11-22,201811,2018,11,-0.21,4.05,4,172.4,5.7,23.8,18.3,79.75,3.77256,3.5,80.675,4257.19,173.0,57.0,24.608034682080923,3,0,22,Thursday,0,0
8,2018-11-21,201811,2018,11,-0.21,4.05,4,172.4,3.7,25.9,18.6,85.0,1.37184,3.5,130.375,4309.8125,183.0,40.0,23.55088797814208,2,0,21,Wednesday,0,0
9,2018-11-20,201811,2018,11,-0.21,4.05,4,172.4,3.1,25.0,18.8,86.75,0.0,3.5,82.705,5099.22,219.0,57.0,23.28410958904109,1,0,20,Tuesday,0,0
10,2018-11-19,201811,2018,11,-0.21,4.05,4,172.4,0.0,27.4,20.2,87.25,0.68592,3.5,118.965,5240.095,232.0,57.0,22.586616379310342,0,0,19,Monday,0,0
11,2018-11-18,201811,2018,11,-0.21,4.05,4,172.4,3.0,28.6,19.7,74.5,2.05776,,,,,,,6,0,18,Sunday,0,0
12,2018-11-17,201811,2018,11,-0.21,4.05,4,172.4,31.0,25.6,19.0,82.5,1.37184,,,,,,,5,0,17,Saturday,0,0
13,2018-11-16,201811,2018,11,-0.21,4.05,4,172.4,30.9,26.9,17.9,85.75,0.34296,,,,,,,4,0,16,Friday,1,0
14,2018-11-15,201811,2018,11,-0.21,4.05,4,172.4,25.4,29.0,18.2,75.25,1.37184,,,,,,,3,1,15,Thursday,0,0
15,2018-11-14,201811,2018,11,-0.21,4.05,4,172.4,0.9,28.2,17.8,73.5,1.02888,3.5,183.925,4438.49,182.0,30.0,24.387307692307687,2,0,14,Wednesday,0,1
16,2018-11-13,201811,2018,11,-0.21,4.05,4,172.4,43.5,27.8,18.3,75.0,1.7148,3.5,421.575,6687.03,244.0,54.0,27.405860655737698,1,0,13,Tuesday,0,0
17,2018-11-12,201811,2018,11,-0.21,4.05,4,172.4,5.4,28.4,19.0,78.5,2.05776,3.5,107.1,4755.135,194.0,54.0,24.51100515463917,0,0,12,Monday,0,0
18,2018-11-11,201811,2018,11,-0.21,4.05,4,172.4,14.4,28.3,16.0,77.25,2.40072,,,,,,,6,0,11,Sunday,0,0
19,2018-11-10,201811,2018,11,-0.21,4.05,4,172.4,8.5,20.7,18.3,93.25,1.02888,,,,,,,5,0,10,Saturday,0,0
20,2018-11-09,201811,2018,11,-0.21,4.05,4,172.4,32.8,22.0,17.8,92.5,1.7148,2.625,232.75,7310.6075,245.0,49.0,29.839214285714284,4,0,9,Friday,0,0
21,2018-11-08,201811,2018,11,-0.21,4.05,4,172.4,27.9,24.7,18.4,89.5,0.0,3.5,78.1375,7971.6175,323.0,53.0,24.679930340557274,3,0,8,Thursday,0,0
22,2018-11-07,201811,2018,11,-0.21,4.05,4,172.4,11.6,24.0,17.7,84.25,2.74368,3.5,130.585,7958.3525,299.0,49.0,26.6165635451505,2,0,7,Wednesday,0,0
23,2018-11-06,201811,2018,11,-0.21,4.05,4,172.4,2.3,23.8,19.0,91.0,2.40072,3.5,60.375,5421.6575,211.0,49.0,25.69505924170616,1,0,6,Tuesday,0,0
24,2018-11-05,201811,2018,11,-0.21,4.05,4,172.4,0.0,28.4,17.8,72.75,2.40072,3.5,377.685,5703.9675,236.0,56.0,24.169353813559322,0,0,5,Monday,0,0
25,2018-11-04,201811,2018,11,-0.21,4.05,4,172.4,44.2,27.3,17.8,74.75,3.94404,,,,,,,6,0,4,Sunday,0,0
26,2018-11-03,201811,2018,11,-0.21,4.05,4,172.4,2.1,25.4,18.9,89.75,1.37184,,,,,,,5,0,3,Saturday,1,0
27,2018-11-02,201811,2018,11,-0.21,4.05,4,172.4,9.1,25.9,18.9,86.25,0.68592,,,,,,,4,1,2,Friday,0,0
28,2018-11-01,201811,2018,11,-0.21,4.05,4,172.4,10.5,26.9,17.8,87.0,1.02888,1.75,240.6075,6323.87,230.0,71.0,27.495086956521735,3,0,1,Thursday,0,1
29,2018-10-31,201810,2018,10,0.45,4.56,4,172.4,0.0,28.8,19.5,71.75,1.02888,3.5,63.875,1189.2825,57.0,12.0,20.86460526315789,2,0,31,Wednesday,0,0
30,2018-10-30,201810,2018,10,0.45,4.56,4,172.4,48.2,29.4,15.8,64.5,2.40072,4.375,75.915,2504.5825,111.0,31.0,22.563806306306304,1,0,30,Tuesday,0,0
31,2018-10-29,201810,2018,10,0.45,4.56,4,172.4,0.0,28.0,19.4,84.25,0.0,3.5,78.89,2903.5475,136.0,25.0,21.349613970588237,0,0,29,Monday,0,0
32,2018-10-28,201810,2018,10,0.45,4.56,4,172.4,0.0,30.1,18.5,58.75,2.40072,,,,,,,6,0,28,Sunday,0,0
33,2018-10-27,201810,2018,10,0.45,4.56,4,172.4,20.1,30.6,19.1,62.5,4.11552,,,,,,,5,0,27,Saturday,0,0
34,2018-10-26,201810,2018,10,0.45,4.56,4,172.4,16.0,28.8,18.8,74.75,1.02888,3.5,74.1125,2172.4325,102.0,24.0,21.29835784313725,4,0,26,Friday,0,0
35,2018-10-25,201810,2018,10,0.45,4.56,4,172.4,0.0,26.3,18.8,90.5,1.02888,3.5,71.05,3507.8225,141.0,32.0,24.87817375886525,3,0,25,Thursday,0,0
36,2018-10-24,201810,2018,10,0.45,4.56,4,172.4,24.9,26.8,18.1,75.5,0.0,3.5,238.0,3821.3175,154.0,43.0,24.81375,2,0,24,Wednesday,0,0
37,2018-10-23,201810,2018,10,0.45,4.56,4,172.4,0.0,26.8,18.9,89.25,0.68592,0.35,133.0525,5398.4175,205.0,38.0,26.333743902439025,1,0,23,Tuesday,0,0
38,2018-10-22,201810,2018,10,0.45,4.56,4,172.4,20.9,24.4,18.2,87.75,1.37184,2.345,106.435,3515.7675,142.0,37.0,24.75892605633803,0,0,22,Monday,0,0
39,2018-10-21,201810,2018,10,0.45,4.56,4,172.4,49.1,25.6,19.1,90.0,0.0,,,,,,,6,0,21,Sunday,0,0
40,2018-10-20,201810,2018,10,0.45,4.56,4,172.4,3.0,27.8,18.6,79.5,0.34296,,,,,,,5,0,20,Saturday,0,0
41,2018-10-19,201810,2018,10,0.45,4.56,4,172.4,39.6,23.7,18.4,84.75,0.0,3.5,123.935,3514.595,128.0,1.0,27.4577734375,4,0,19,Friday,0,0
42,2018-10-18,201810,2018,10,0.45,4.56,4,172.4,0.0,30.3,18.9,66.25,2.05776,2.625,1750.0,6930.49,186.0,47.0,37.26069892473119,3,0,18,Thursday,0,0
43,2018-10-17,201810,2018,10,0.45,4.56,4,172.4,0.0,27.4,17.8,64.75,0.34296,3.5,180.8975,7752.01,276.0,58.0,28.086992753623186,2,0,17,Wednesday,0,0
44,2018-10-16,201810,2018,10,0.45,4.56,4,172.4,0.0,29.8,18.5,65.25,2.40072,3.5,81.83,5988.9725,256.0,48.0,23.394423828125,1,0,16,Tuesday,0,0
45,2018-10-15,201810,2018,10,0.45,4.56,4,172.4,9.8,28.8,19.0,69.25,0.0,2.975,350.0,6131.2825,243.0,57.0,25.231615226337446,0,0,15,Monday,0,0
46,2018-10-14,201810,2018,10,0.45,4.56,4,172.4,0.0,32.8,20.9,66.5,1.37184,,,,,,,6,0,14,Sunday,0,0
47,2018-10-13,201810,2018,10,0.45,4.56,4,172.4,0.0,32.5,22.4,43.0,1.37184,,,,,,,5,0,13,Saturday,1,0
48,2018-10-12,201810,2018,10,0.45,4.56,4,172.4,0.0,32.6,21.2,32.5,2.05776,,,,,,,4,1,12,Friday,0,0
49,2018-10-11,201810,2018,10,0.45,4.56,4,172.4,0.0,32.5,20.8,51.5,2.40072,2.625,136.605,6471.465,213.0,70.0,30.382464788732396,3,0,11,Thursday,0,1
50,2018-10-10,201810,2018,10,0.45,4.56,4,172.4,0.0,29.3,20.6,60.75,2.74368,3.5,446.46,7099.785,244.0,64.0,29.097479508196724,2,0,10,Wednesday,0,0
51,2018-10-09,201810,2018,10,0.45,4.56,4,172.4,0.0,28.8,18.7,59.25,2.74368,3.5,771.575,8355.935,296.0,67.0,28.229510135135136,1,0,9,Tuesday,0,0
52,2018-10-08,201810,2018,10,0.45,4.56,4,172.4,0.0,31.6,20.4,47.0,1.7148,2.625,138.5475,6963.5125,282.0,63.0,24.693306737588642,0,0,8,Monday,0,0
53,2018-10-07,201810,2018,10,0.45,4.56,4,172.4,2.0,28.0,19.5,66.0,0.0,,,,,,,6,0,7,Sunday,0,0
54,2018-10-06,201810,2018,10,0.45,4.56,4,172.4,0.0,31.0,20.1,71.5,1.7148,,,,,,,5,0,6,Saturday,0,0
55,2018-10-05,201810,2018,10,0.45,4.56,4,172.4,6.6,29.1,20.3,52.5,1.02888,3.5,234.7275,5451.145,214.0,48.0,25.472640186915886,4,0,5,Friday,0,0
